timestamps,TP9,AF7,AF8,TP10,Right AUX
1530746687.345,42.480,29.785,15.137,76.660,958.984
1530746687.349,90.820,67.871,-89.355,120.117,990.723
1530746687.353,-7.324,15.137,9.766,17.578,997.559
1530746687.357,-81.543,-32.715,136.230,-55.664,982.422
1530746687.361,8.789,14.648,54.688,34.668,986.328
1530746687.364,98.145,73.242,-82.031,122.559,997.559
1530746687.368,27.832,41.016,-27.832,50.293,-999.023
1530746687.372,-74.707,-25.879,114.258,-47.852,983.887
1530746687.376,-24.902,-7.324,93.262,9.766,977.051
1530746687.380,83.984,62.012,-54.199,115.234,-1000.000
1530746687.384,50.293,53.711,-59.082,82.031,-998.535
1530746687.388,-64.453,-19.531,86.914,-25.391,993.164
1530746687.392,-53.711,-26.367,128.418,-13.184,989.746
1530746687.396,60.059,44.922,-15.625,104.492,999.512
1530746687.400,71.289,65.918,-81.055,111.816,999.512
1530746687.403,-40.527,6.348,46.387,-1.465,999.023
1530746687.407,-78.125,-26.367,139.160,-41.016,998.047
1530746687.411,34.180,29.785,28.809,57.617,998.047
1530746687.415,94.727,75.195,-89.355,115.723,999.512
1530746687.419,1.465,30.762,0.977,32.227,999.512
1530746687.423,-80.566,-27.344,135.742,-50.781,999.512
1530746687.427,1.465,7.324,66.895,31.738,999.512
1530746687.431,94.238,70.312,-74.707,121.094,999.512
1530746687.435,30.762,46.387,-34.668,56.152,999.512
1530746687.439,-71.289,-21.484,111.816,-42.480,999.512
1530746687.443,-31.250,-12.695,108.398,-1.953,999.512
1530746687.446,77.148,55.176,-40.527,109.375,999.512
1530746687.450,57.129,59.570,-67.871,84.473,999.512
1530746687.454,-57.617,-6.836,78.613,-31.738,999.512
1530746687.458,-65.918,-22.461,135.742,-28.809,999.512
1530746687.462,48.828,43.457,-6.348,86.426,999.512
1530746687.466,79.590,72.754,-87.402,108.887,999.512
1530746687.470,-25.879,15.137,33.203,6.348,999.512
1530746687.474,-76.660,-25.391,141.113,-44.922,999.512
1530746687.478,28.809,27.832,39.551,58.105,999.512
1530746687.482,105.469,78.613,-84.473,125.488,999.512
1530746687.486,19.043,39.062,-5.371,39.062,999.512
1530746687.489,-71.289,-18.555,135.254,-42.969,999.512
1530746687.493,4.395,12.695,83.984,28.320,999.512
1530746687.497,100.098,75.684,-64.941,126.465,999.512
1530746687.501,45.898,53.223,-44.922,74.707,999.512
1530746687.505,-58.594,-14.160,101.562,-30.273,999.512
1530746687.509,-26.367,-7.812,114.746,1.465,999.512
1530746687.513,86.914,60.059,-34.180,110.352,999.512
1530746687.517,75.195,71.289,-71.777,99.121,999.512
1530746687.521,-38.086,8.301,63.965,-17.090,999.512
1530746687.525,-54.199,-16.113,132.324,-31.738,999.512
1530746687.528,57.129,43.457,5.371,83.984,999.512
1530746687.532,98.633,80.078,-87.402,117.676,999.512
1530746687.536,-7.812,24.902,23.438,19.043,999.512
1530746687.540,-71.777,-25.879,140.137,-44.434,999.512
1530746687.544,29.297,20.020,49.316,53.223,999.512
1530746687.548,106.445,76.172,-78.125,132.324,999.512
1530746687.552,26.367,41.016,-11.719,49.805,999.512
1530746687.556,-66.406,-20.508,126.953,-37.109,999.512
